Speed,Throttle,Brake,RPM,nGear,DRS,Distance,Driver,Lap,Year,Track,Time_s
0.0,20.0,False,10800.6125056,1,1,0.004973277707772575,OCO,1.0,2024,Monaco,0.0
0.0,20.0,False,10793.0,1,1,0.0,OCO,1.0,2024,Monaco,0.087
0.0,20.0,False,10827.78006016,1,1,-0.013154804473988492,OCO,1.0,2024,Monaco,0.161
0.0,20.0,False,10887.0,1,1,0.0,OCO,1.0,2024,Monaco,0.287
2.4718736,20.0,False,10343.187808,1,1,0.13568626799910863,OCO,1.0,2024,Monaco,0.4
7.0,20.0,False,9347.0,1,1,0.6222222222222222,OCO,1.0,2024,Monaco,0.607
8.135712914285714,20.0,False,8976.000448,1,1,0.7734918403652402,OCO,1.0,2024,Monaco,0.66
12.849998628571429,20.0,False,7436.000448,1,1,1.5975942481172123,OCO,1.0,2024,Monaco,0.88
13.0,20.0,False,7387.0,1,1,1.6333333333333335,OCO,1.0,2024,Monaco,0.887
22.4874976,20.7906248,False,5616.000448,1,1,3.3287561101726597,OCO,1.0,2024,Monaco,1.14
25.0,21.0,False,5147.0,1,1,3.855555555555556,OCO,1.0,2024,Monaco,1.207
29.019996159999998,25.019996159999998,False,5062.58008064,1,1,4.971993903440945,OCO,1.0,2024,Monaco,1.341
31.0,27.0,False,5021.0,1,1,5.5777777777777775,OCO,1.0,2024,Monaco,1.407
34.25499776,31.18499712,False,5184.21488768,1,1,6.51195935752646,OCO,1.0,2024,Monaco,1.5
38.0,36.0,False,5372.0,1,1,7.688888888888888,OCO,1.0,2024,Monaco,1.607
41.38999808,41.08499712,False,6137.00956672,1,1,9.03129563171215,OCO,1.0,2024,Monaco,1.72
44.0,45.0,False,6726.0,1,1,10.133333333333333,OCO,1.0,2024,Monaco,1.807
49.6291648,49.020832,False,8076.999552,1,1,12.80843720426212,OCO,1.0,2024,Monaco,2.0
51.0,50.0,False,8406.0,1,1,13.533333333333335,OCO,1.0,2024,Monaco,2.047
61.61666417777778,52.274999466666664,False,8848.866562844445,1,1,18.36810357259557,OCO,1.0,2024,Monaco,2.32
65.0,53.0,False,8990.0,1,1,20.03333333333333,OCO,1.0,2024,Monaco,2.407
72.0,63.0,False,10670.0,1,1,24.83333333333333,OCO,1.0,2024,Monaco,2.647
72.38499648,63.27999744,False,10627.75538624,1,1,25.128115252098905,OCO,1.0,2024,Monaco,2.661
83.0,71.0,False,9463.0,2,1,34.05555555555556,OCO,1.0,2024,Monaco,3.047
85.5500096,71.0,False,9463.0,2,1,34.92751204527396,OCO,1.0,2024,Monaco,3.081
95.0,71.0,False,9463.0,2,1,38.27777777777777,OCO,1.0,2024,Monaco,3.207
100.33333120664547,75.66666480581479,False,10552.999565358168,2,1,44.327224438947745,OCO,1.0,2024,Monaco,3.421
103.0,78.0,False,11098.0,2,1,47.46194444444444,OCO,1.0,2024,Monaco,3.528
103.687504,78.4125024,False,11103.0875296,2,1,48.43858806237178,OCO,1.0,2024,Monaco,3.561
108.0,81.0,False,11135.0,2,1,54.66194444444444,OCO,1.0,2024,Monaco,3.768
108.1624992,81.4468728,False,11097.1783112,2,1,55.05742519622141,OCO,1.0,2024,Monaco,3.781
112.0,92.0,False,10204.0,2,1,64.6175,OCO,1.0,2024,Monaco,4.088
112.58499712,92.0,False,10137.96032512,2,1,65.03766246754374,OCO,1.0,2024,Monaco,4.101
121.0,92.0,False,9188.0,3,1,71.33972222222224,OCO,1.0,2024,Monaco,4.288
133.63499392,92.0,False,10118.999552,3,1,76.37020982919606,OCO,1.0,2024,Monaco,4.421
140.0,92.0,False,10588.0,3,1,79.11750000000002,OCO,1.0,2024,Monaco,4.488
150.70909090909092,94.76363636363637,False,10661.236363636364,3,1,85.91705622551454,OCO,1.0,2024,Monaco,4.64
163.46135912727271,98.05454429090909,False,10748.44542370909,3,1,94.79210134300645,OCO,1.0,2024,Monaco,4.821
171.0,100.0,False,10800.0,4,1,100.0175,OCO,1.0,2024,Monaco,4.928
175.0,100.0,False,10937.0,4,1,107.79527777777778,OCO,1.0,2024,Monaco,5.088
175.5125421619975,100.0,False,10962.114565937878,4,1,108.43993276808916,OCO,1.0,2024,Monaco,5.101
186.0,100.0,False,11476.0,4,1,122.21027777777778,OCO,1.0,2024,Monaco,5.367
186.50908625454545,100.0,False,11445.263917381819,4,1,122.963545460015,OCO,1.0,2024,Monaco,5.381
202.0,100.0,False,10510.0,5,1,146.89916666666667,OCO,1.0,2024,Monaco,5.807
202.2437488,100.0,False,10530.7998976,5,1,147.64178508719593,OCO,1.0,2024,Monaco,5.82
205.0,100.0,True,10766.0,5,1,156.01027777777773,OCO,1.0,2024,Monaco,5.967
200.0285750857143,62.714313142857144,True,10380.714569142858,5,1,165.60289430745055,OCO,1.0,2024,Monaco,6.141
197.0,40.0,False,10146.0,5,1,171.33249999999995,OCO,1.0,2024,Monaco,6.247
192.0125024,6.750016000000001,False,9896.62512,5,1,178.42323900214055,OCO,1.0,2024,Monaco,6.38
191.0,0.0,True,9846.0,5,1,179.82138888888886,OCO,1.0,2024,Monaco,6.407
183.3500032,0.0,True,9863.849992533333,5,1,187.39296630139233,OCO,1.0,2024,Monaco,6.56
168.3500032,0.0,True,9898.849992533333,5,1,200.9112257070962,OCO,1.0,2024,Monaco,6.86
167.0,0.0,True,9902.0,4,1,202.0880555555555,OCO,1.0,2024,Monaco,6.887
155.2750112,0.0,True,10227.7871888,4,1,207.81907563340124,OCO,1.0,2024,Monaco,7.021
153.0,0.0,True,10291.0,4,1,208.88805555555552,OCO,1.0,2024,Monaco,7.047
137.92999296,0.0,True,9487.49462464,4,1,219.1225510685582,OCO,1.0,2024,Monaco,7.321
131.0,0.0,True,9118.0,3,1,223.4436111111111,OCO,1.0,2024,Monaco,7.447
116.37500342857143,0.0,True,9906.774815085715,3,1,232.25383803759803,OCO,1.0,2024,Monaco,7.72
116.0,0.0,True,9927.0,3,1,232.46583333333334,OCO,1.0,2024,Monaco,7.727
111.63572022857143,0.0,True,9635.6003968,3,1,235.23672265782102,OCO,1.0,2024,Monaco,7.821
103.0,0.0,True,9059.0,2,1,240.47694444444443,OCO,1.0,2024,Monaco,8.007
